BurstID,ObsDate,MJD,DM,Width,PeakFlux,Fluence,Energy_c,Energy_w,BandWidth,Width,PeakFlux,Fluence,Energy_w
 , ,Barycentric, ,FullBand,FullBand,FullBand,FullBand,FullBand, ,LimitedBand,LimitedBand,LimitedBand,LimitedBand
 , , ,(pc/cm^3),(ms),(mJy),(Jy ms),(1e37erg),(1e37erg),(MHz),(ms),(mJy),(Jy ms),(1e37erg)
149,20210928,59484.82273,411.51,4.17,28.32,0.118,3.303,1.321,350,3.56,39.67,0.141,1.215
150,20210928,59484.82273,411.51,9.09,206.6,1.879,52.59,21.04,500,5.66,314.84,1.783,21.92
151,20210928,59484.82278,411.51,8.09,156.21,1.264,35.38,14.15,400,7.3,201.26,1.47,14.46
152,20210928,59484.82282,411.51,13.03,740.65,9.653,270.2,108.1,500,11.71,740.98,8.679,106.7
153,20210928,59484.82295,411.51,2.96,133.06,0.394,11.03,4.411,200,2.69,334.96,0.903,4.438
154,20210928,59484.823,411.51,6.48,6.63,0.043,1.204,0.4814,100,2.45,24.89,0.061,0.15
155,20210928,59484.82363,411.51,7.27,78.68,0.572,16.01,6.404,400,6.57,101.27,0.666,6.548
156,20210928,59484.82363,411.51,14.32,175.33,2.511,70.28,28.11,300,13.88,274.66,3.812,28.12
157,20210928,59484.82363,411.51,9.17,23.98,0.22,6.158,2.463,100,9.47,103.67,0.982,2.414
158,20210928,59484.82365,411.51,3.06,71.2,0.218,6.102,2.441,450,2.75,75.42,0.208,2.297
159,20210928,59484.82378,411.51,4.29,27.53,0.118,3.303,1.321,150,3.84,89.8,0.345,1.273
160,20210928,59484.82387,411.51,4.69,8.96,0.042,1.176,0.4702,100,5.69,28.01,0.159,0.3919
161,20210928,59484.8239,411.51,8.38,17.91,0.15,4.198,1.679,200,7.77,48.2,0.374,1.841
162,20210928,59484.82407,411.51,2.85,8.79,0.025,0.6998,0.2799,150,4.16,27.34,0.114,0.4198
163,20210928,59484.82463,411.51,3.38,11.23,0.038,1.064,0.4254,100,3.05,60.63,0.185,0.4546
164,20210928,59484.82466,411.51,3.94,47.25,0.186,5.206,2.082,300,3.35,86.94,0.291,2.15
165,20210928,59484.82466,411.51,6.47,30.45,0.197,5.514,2.206,200,6.34,71.95,0.456,2.244
166,20210928,59484.82466,411.51,16.61,323.06,5.366,150.2,60.08,500,8.95,435.05,3.894,47.87
167,20210928,59484.82496,411.51,2.54,25.21,0.064,1.791,0.7166,200,2.54,54.96,0.139,0.6852
168,20210928,59484.82512,411.51,3.4,24.4,0.083,2.323,0.9293,100,3.55,103.29,0.367,0.9024
169,20210928,59484.82512,411.51,10.71,84.81,0.908,25.42,10.17,250,10.1,179.78,1.816,11.16
170,20210928,59484.82517,411.51,0.91,5.51,0.005,0.14,0.05598,100,2.13,23.06,0.049,0.1209
171,20210928,59484.82517,411.51,2.96,9.81,0.029,0.8117,0.3247,200,3.97,19.29,0.077,0.3762
172,20210928,59484.82531,411.51,4.17,28.27,0.118,3.303,1.321,300,3.91,48.4,0.189,1.397
